Profit,Inventory
52.75213749720485,-1.0
38.522036396582294,-1.0
48.17422948992416,0.0
53.16022473558904,-1.0
59.57966294729009,-1.0
50.96131690320693,0.0
45.18295392578878,0.0
43.16156178152618,-1.0
44.81975615792572,0.0
33.948301616195415,-1.0
34.12238868801331,0.0
24.467540628617364,-1.0
54.215510010835665,2.0
60.7789696493421,-1.0
25.615045483626176,1.0
46.569194966607434,0.0
30.683744163582283,1.0
51.546169063475155,0.0
46.869120466553596,1.0
46.27389438096415,0.0
33.296268481475124,0.0
42.76042016712121,1.0
45.01218010144166,2.0
66.02103935611217,2.0
52.258875350906635,1.0
43.86145860020391,0.0
34.90016247579763,1.0
30.81091807976236,0.0
39.332605376466645,2.0
55.33339594018059,0.0
40.59185819600464,2.0
33.09081342267038,-1.0
35.98512354636221,-1.0
35.34999826864496,0.0
56.14088875848348,1.0
42.36042223619387,1.0
58.45741219263199,1.0
29.124229310278913,0.0
35.93658879886431,0.0
37.35855977171293,-2.0
49.35085168343557,1.0
36.72655790726246,0.0
32.33214687165764,0.0
52.640693858740676,-1.0
40.53853798859647,-1.0
60.53343668709879,2.0
52.704447799892165,1.0
58.66081426071667,-1.0
44.48081465142204,1.0
28.245316541390537,0.0
50.231791125252826,-1.0
43.92301784318047,-1.0
31.179303107754215,-1.0
49.609829764039425,1.0
51.986185588725114,0.0
35.87999088891584,-1.0
17.400795672261935,-1.0
35.78083604857643,-1.0
15.3192512415605,-1.0
47.84053939642006,1.0
38.056116008487756,0.0
59.817306952974235,-1.0
42.50610019845475,-1.0
39.93545115089604,-1.0
61.77034192747986,0.0
47.67205530349436,1.0
45.799517058829615,-1.0
50.11327921301333,0.0
40.05655074716083,0.0
43.99343657900427,1.0
57.05944232748705,0.0
33.139020242183946,0.0
42.22644281616094,1.0
14.322838436857637,-2.0
42.22784405851081,1.0
35.39986245896157,-1.0
59.209789319332224,-1.0
28.25319917013818,0.0
17.106418505380677,1.0
51.32926882107877,-1.0
47.876579030356964,0.0
32.66703232717571,0.0
38.809338902762555,0.0
66.20248958823572,-1.0
48.61748532961158,1.0
32.31323950109873,2.0
49.290950055983906,-1.0
38.15476333805993,0.0
27.72417781828473,0.0
44.36528289238868,0.0
41.28973758138369,0.0
38.88361901641417,-1.0
20.192909010304497,-1.0
37.92245449634485,0.0
13.54694020204944,-5.0
49.111673176097526,0.0
49.56436682094384,0.0
52.63175364806024,0.0
51.713870478946774,0.0
30.993220999838584,1.0
44.17150723754378,-3.0
34.603883512035814,1.0
36.809453872006785,1.0
53.662800799618054,0.0
46.40680859031767,-1.0
32.13395069083862,2.0
52.78126196812063,1.0
53.659188455630584,2.0
41.07482513013739,1.0
46.39644300051769,-1.0
30.727455330804027,0.0
47.61113283069103,1.0
46.503975848336346,1.0
37.070937970968366,0.0
106.25867055295083,0.0
52.501437559959726,1.0
42.14665881199896,0.0
40.220278615239025,0.0
46.00367517082698,0.0
39.130674521546624,1.0
49.60929282689471,-1.0
34.4084440236034,1.0
47.71300856928104,0.0
18.16853910255434,-1.0
42.34121722056517,2.0
43.973144642977346,0.0
45.82533629136084,0.0
41.90400491101302,-2.0
54.36033442081764,0.0
44.68200581165508,1.0
48.03433710693054,0.0
58.957443294430576,0.0
12.643757119147686,0.0
51.23908414691367,-2.0
34.83732472862772,0.0
40.44500444430879,-2.0
